"Safety_Package_Level","Police_Sayisi","Ort_Frekans","SE_Frekans","Ort_Siddet","SE_Siddet","Ort_Risk_Primi","SE_Risk_Primi","Freq_vs_Baseline","Sev_vs_Baseline","Prim_vs_Baseline"
"0",49726,0.105938781712772,0.000291280163752997,24519.2845306041,46.2266773044639,2596.89556612288,9.13660284369762,1,1,1
"1",30320,0.0966316143219109,0.00033814165602871,27532.9166174496,66.3827768641172,2660.08737590445,11.9956437913818,0.912145795520899,1.12290864699107,1.02433359685539
"2",19954,0.0787519685181361,0.000338833842250502,31690.7376209769,94.401186680669,2497.2799802359,13.8402544637083,0.743372419853325,1.29248215140297,0.961640511391183
