"Vehicle_Segment","Safety_Package_Level","Ort_Frekans","Ort_Siddet","Ort_Risk_Primi"
"Hatchback","0",0.1050951040925,24338.6965727392,2559.99691061843
"Hatchback","1",0.0944785181953128,27206.4404952992,2573.04604600007
"Hatchback","2",0.0790652652490598,31379.6846860111,2476.63189829033
"Sedan","0",0.107303721313749,24193.9934938402,2590.78634410927
"Sedan","1",0.0970038953514986,27536.9810233624,2664.24443175009
"Sedan","2",0.0800355936784003,31232.4586718551,2505.63156430704
"SUV","0",0.106264304267503,24374.6362554736,2590.93805509096
"SUV","1",0.0963570101833845,27498.6805330141,2650.98064809724
"SUV","2",0.0810154044394062,31134.4944672799,2523.75107035393
